--- on_off ---
Comparing on with off
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
Frame Break
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
Frame Break
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       0
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       1
0                                       1
0                                       1
0                                       1
1                                       0
0                                       0
1                                       1
0                                       0

